City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Juodupe,LT,56.0833,25.6167,53.22,87,64,4.05,broken clouds
107,Sabya,SA,17.1495,42.6254,91.02,44,100,2.26,overcast clouds
108,Miranda Do Corvo,PT,40.0932,-8.3326,74.1,59,6,5.79,clear sky
109,Tazovskiy,RU,67.4667,78.7,53.01,76,100,6.87,overcast clouds
110,Plettenberg Bay,ZA,-34.0527,23.3716,72.52,38,0,11.54,clear sky
111,Adamovka,RU,51.5223,59.9396,72.36,61,100,6.4,overcast clouds
112,Takoradi,GH,4.8845,-1.7554,74.95,81,32,10.65,scattered clouds
113,Riyadh,SA,24.6877,46.7219,95.14,10,28,3.6,scattered clouds
114,Keti Bandar,PK,24.1447,67.4497,82.56,87,31,14.63,scattered clouds
115,Astana,KZ,51.1801,71.446,64.35,52,0,6.71,clear sky
116,Binga,ZW,-17.6203,27.3414,61.77,46,1,2.17,clear sky
117,Pinega,RU,64.7001,43.3936,58.89,74,100,3.29,overcast clouds
118,Port Shepstone,ZA,-30.7414,30.455,65.37,80,0,15.32,clear sky
119,Meiganga,CM,6.5167,14.3,65.64,97,100,3.47,light rain
120,Sochi,RU,43.6,39.7303,71.69,84,22,1.83,few clouds
121,Ambilobe,MG,-13.2,49.05,68.58,63,100,5.26,overcast clouds
122,Samoded,RU,63.6083,40.5111,55.09,84,100,3.65,overcast clouds
123,Caravelas,BR,-17.7125,-39.2481,76.68,70,5,7.92,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,18.41,few clouds
125,Torbay,CA,47.6666,-52.7314,77.88,72,100,1.99,overcast clouds
126,Orai,IN,25.9833,79.4667,95.97,43,68,10.16,broken clouds
127,Esil,KZ,51.9556,66.4042,71.53,67,80,5.88,broken clouds
128,Margate,GB,51.3813,1.3862,76.1,64,37,1.99,scattered clouds
129,Luanda,AO,-8.8368,13.2343,71.6,83,75,8.05,broken clouds
130,Molina,CL,-35.1167,-71.2833,51.53,58,100,3.44,overcast clouds
131,Saint-Raphael,HT,19.4333,-72.2,91.24,42,0,2.59,clear sky
132,Bubaque,GW,11.2833,-15.8333,80.62,86,100,15.35,overcast clouds
133,Shamgarh,IN,24.1833,75.6333,77.36,91,100,11.54,overcast clouds
134,Abalak,RU,58.1286,68.5944,58.89,62,78,4.03,broken clouds
135,Aketi,CD,2.7388,23.7833,72.5,97,100,5.88,light rain
136,Iqaluit,CA,63.7506,-68.5145,41.7,93,100,4.0,overcast clouds
137,Nalut,LY,30.3333,10.85,89.8,16,0,10.96,clear sky
138,Ushtobe,KZ,45.2514,77.9838,75.49,34,0,3.94,clear sky
139,Mitsamiouli,KM,-11.3847,43.2844,77.34,70,10,7.94,clear sky
140,Abu Kamal,SY,34.4506,40.9171,93.85,16,0,8.46,clear sky
141,Sebnitz,DE,50.9754,14.2758,68.72,51,65,2.91,broken clouds
142,Camana,PE,-16.6228,-72.7111,63.81,72,52,10.47,broken clouds
143,Garissa,KE,-0.4536,39.6401,74.84,65,30,22.62,scattered clouds
144,Onega,RU,63.9061,38.1404,56.37,79,91,4.34,overcast clouds
145,Bangassou,CF,4.7413,22.8184,70.3,96,100,3.83,overcast clouds
146,Blaubeuren,DE,48.4122,9.7843,71.47,56,6,2.77,clear sky
147,Coihaique,CL,-45.5752,-72.0662,40.95,75,75,9.22,broken clouds
148,Castro,BR,-24.7911,-50.0119,69.04,71,100,4.81,light rain
149,Locri,IT,38.2414,16.2623,84.33,58,0,4.92,clear sky
150,Oyem,GA,1.5995,11.5793,68.05,91,54,3.27,broken clouds
151,Saint-Louis,SN,16.3333,-15.0,91.26,41,16,16.35,few clouds
152,Qasigiannguit,GL,68.8193,-51.1922,52.05,63,29,2.28,scattered clouds
153,Bowling Green,US,36.9903,-86.4436,87.73,64,20,16.11,few clouds
154,Hithadhoo,MV,-0.6,73.0833,76.12,86,100,24.4,overcast clouds
155,Vaijapur,IN,19.9167,74.7333,75.63,84,99,12.55,overcast clouds
156,Salalah,OM,17.0151,54.0924,78.89,89,100,6.91,overcast clouds
157,Sao Filipe,CV,14.8961,-24.4956,75.51,81,59,14.61,broken clouds
158,Monrovia,LR,6.3005,-10.7969,78.57,82,100,14.38,light rain
159,San-Pedro,CI,4.7485,-6.6363,75.42,83,100,9.95,overcast clouds
160,Campbellsville,US,37.3434,-85.3419,87.73,78,91,10.92,overcast clouds
