City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Chapais,CA,79.12,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
271,Mizdah,LY,82.78,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
276,Hamilton,US,75.78,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
279,Hambantota,LK,80.28,overcast clouds,6.1241,81.1185,Bungalow 63
280,Buritizeiro,BR,88.02,clear sky,-17.3511,-44.9622,Santos Palace Hotel
281,La Arena,PE,81.61,clear sky,-5.3466,-80.7109,Santa Cruz- La Unión
290,Lixourion,GR,86.0,clear sky,38.2019,20.4314,Hotel Summery
296,Pasni,PK,85.66,overcast clouds,25.2631,63.471,Kashmiri Hotal
298,Muisne,EC,75.81,overcast clouds,0.6,-80.0333,Quinta Samay
300,Lannion,FR,88.34,clear sky,48.75,-3.4167,Hotel Arcadia
302,Mbour,SN,83.25,clear sky,14.422,-16.9638,Tama Lodge
303,Aksu,CN,80.1,clear sky,41.1231,80.2644,Pudong Holiday Hotel
306,Bandarbeyla,SO,76.35,clear sky,9.4942,50.8122,JABIR HOTEL
307,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
308,Touros,BR,79.74,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
311,Jha Jha,IN,85.01,overcast clouds,24.7667,86.3667,"Sahdev Das, krishna Das Building 🏢"
313,Islampur,IN,83.52,overcast clouds,26.2667,88.2,Circuit House
315,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
317,Devgarh,IN,80.76,overcast clouds,25.5333,73.9,Deogarh Mahal
318,Boz,FR,78.64,scattered clouds,46.4071,4.9109,Le Jardin De La Reyssouze
319,Waldshut-Tiengen,DE,81.64,clear sky,47.6232,8.2172,Waldshuter Hof
324,Santa Rita,BR,77.67,broken clouds,-7.1139,-34.9781,Infinity Motel
325,Karaikkudi,IN,81.79,overcast clouds,10.0667,78.7833,Hotel Meyyappaa
329,Bonthe,SL,76.24,light rain,7.5264,-12.505,Bonthe Holiday Village
330,Saint-Georges,GD,81.27,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
334,Halifax,CA,77.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
335,Maragogi,BR,76.37,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
341,Morropon,PE,86.85,few clouds,-5.1822,-79.9689,panaderia jeffeson
342,High Rock,BS,87.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
344,Forbesganj,IN,83.93,broken clouds,26.3,87.25,होटल
346,Barra,BR,86.09,clear sky,-11.0894,-43.1417,Pousada Bahia
351,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
354,Awbari,LY,88.39,clear sky,26.5921,12.7805,فندق أوباري
355,Gwadar,PK,87.49,overcast clouds,25.1216,62.3254,Sadaf Resort
360,Moroni,KM,75.04,clear sky,-11.7022,43.2551,Hotel Les Arcades
368,Umm Lajj,SA,86.43,overcast clouds,25.0213,37.2685,Moon light Furnished Units
369,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
375,Waspan,NI,89.98,scattered clouds,14.7419,-83.9717,Hostal casa de la rose
378,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
381,Pauini,BR,88.38,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
384,Ayakudi,IN,80.15,light rain,10.45,77.55,Palani Temple Accommodation
389,Zorgo,BF,77.7,few clouds,12.2489,-0.6158,Hôtel Pang Ya Wendé
392,La Rioja,ES,83.98,few clouds,42.25,-2.5,Casa Concejos
393,Ratnagiri,IN,79.47,light rain,16.9833,73.3,Hotel Landmark
396,Mogadishu,SO,76.41,few clouds,2.0371,45.3438,Hotel Juba
397,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
398,Fuengirola,ES,86.85,clear sky,36.54,-4.6247,Hotel Las Palmeras
401,Gaya,IN,87.85,overcast clouds,24.7833,85.0,Hotel Viraat Inn Gaya
404,Narsipatnam,IN,77.31,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
405,Surt,LY,79.9,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
