City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Yar-Sale,RU,2022-07-16 01:04:50,66.8333,70.8333,59.2,57,7,7.4
98,Morondava,MG,2022-07-16 01:04:50,-20.2833,44.2833,64.63,84,0,6.08
99,Grindavik,IS,2022-07-16 01:04:51,63.8424,-22.4338,52.27,93,100,26.46
100,Antofagasta,CL,2022-07-16 01:04:51,-23.65,-70.4,56.48,81,1,2.73
101,Teguldet,RU,2022-07-16 01:04:51,57.3064,88.1667,57.22,86,61,4.16
102,Alexandria,EG,2022-07-16 01:04:52,31.2156,29.9553,75.87,73,0,12.24
103,Mar Del Plata,AR,2022-07-16 01:04:52,-38.0023,-57.5575,50.88,97,100,9.22
104,Manono,CD,2022-07-16 01:04:53,-7.3,27.4167,78.82,37,100,10.27
105,Kathu,TH,2022-07-16 01:04:53,7.9178,98.3332,83.7,87,100,8.57
106,Rio Grande,BR,2022-07-16 01:04:53,-32.035,-52.0986,60.94,98,60,7.2
107,Yershichi,RU,2022-07-16 01:04:54,53.6725,32.7542,49.37,97,1,4.92
108,Kulhudhuffushi,MV,2022-07-16 01:04:54,6.6221,73.07,81.66,77,28,9.37
109,Nara,JP,2022-07-16 01:04:55,34.6851,135.8049,81.91,60,100,1.48
110,Qaanaaq,GL,2022-07-16 01:04:55,77.484,-69.3632,51.66,59,84,8.81
111,Qaqortoq,GL,2022-07-16 01:04:55,60.7167,-46.0333,40.37,92,100,7.11
112,Tessalit,ML,2022-07-16 01:04:56,20.1986,1.0114,92.05,25,10,7.67
113,Port-Cartier,CA,2022-07-16 01:04:56,50.0334,-66.8654,62.74,61,68,5.68
114,Tazovskiy,RU,2022-07-16 01:04:56,67.4667,78.7,55.6,65,11,9.8
115,Puerto Quijarro,BO,2022-07-16 01:04:57,-17.7833,-57.7667,81.72,37,99,5.61
116,Puerto Boyaca,CO,2022-07-16 01:00:18,5.9758,-74.5885,75.36,94,63,1.54
117,Qesarya,IL,2022-07-16 01:04:57,32.5189,34.9046,76.96,72,0,4.59
118,Kalmar,SE,2022-07-16 01:04:58,56.6616,16.3616,54.97,84,13,4.0
119,Sarai,RU,2022-07-16 01:04:58,53.7458,41.0213,58.69,82,85,6.46
120,Nargana,PA,2022-07-16 01:04:58,9.4428,-78.5906,79.97,83,30,10.2
121,San Francisco,US,2022-07-16 01:04:02,37.7749,-122.4194,78.62,74,20,24.0
122,Port Antonio,JM,2022-07-16 01:04:59,18.18,-76.4612,79.0,80,19,7.72
123,Bambous Virieux,MU,2022-07-16 01:04:59,-20.3428,57.7575,70.21,76,98,17.0
124,Sinnamary,GF,2022-07-16 01:04:59,5.3833,-52.95,77.76,86,83,6.69
125,Saint-Leu,RE,2022-07-16 01:05:00,-21.15,55.2833,67.03,71,30,1.57
126,Aranos,NA,2022-07-16 01:05:00,-24.1333,19.1167,51.64,33,0,9.35
127,Ponta Do Sol,PT,2022-07-16 01:05:01,32.6667,-17.1,70.43,82,9,3.94
128,Novo Aripuana,BR,2022-07-16 01:05:01,-5.1206,-60.3797,80.01,68,98,3.06
129,Shache,CN,2022-07-16 01:05:01,38.4167,77.2406,71.71,44,68,5.77
130,Safranbolu,TR,2022-07-16 01:05:02,41.2508,32.6942,58.1,95,0,0.94
131,Bangangte,CM,2022-07-16 01:05:02,5.1409,10.5198,61.48,99,100,3.0
132,Sharan,RU,2022-07-16 01:05:02,54.8167,54.0,61.43,95,100,10.13
133,Marabba,SD,2022-07-16 01:05:03,12.35,32.1833,77.23,73,30,7.94
134,Harindanga,IN,2022-07-16 01:05:03,22.0383,88.3214,83.01,85,40,13.4
135,Vardo,NO,2022-07-16 01:05:05,70.3705,31.1107,53.58,82,75,21.85
136,Gamba,GA,2022-07-16 01:05:05,-2.65,10.0,70.7,91,100,3.65
137,Tucuman,AR,2022-07-16 01:00:16,-26.8241,-65.2226,52.66,50,100,0.63
138,Mangai,CD,2022-07-16 01:05:06,-4.05,19.5333,74.01,61,25,1.48
139,Kashin,RU,2022-07-16 01:05:06,57.3592,37.6081,45.93,95,6,6.44
140,Diu,IN,2022-07-16 01:05:07,20.7141,70.9822,80.94,87,100,22.03
141,Lagoa,PT,2022-07-16 01:03:08,39.05,-27.9833,68.83,92,0,13.11
142,Ankazoabo,MG,2022-07-16 01:05:08,-22.2833,44.5167,56.98,79,0,5.23
143,Solikamsk,RU,2022-07-16 01:05:08,59.6196,56.7729,62.26,96,48,1.36
